+--------------------------------------+------------------------------------------------------+--------+
| ID                                   | Name                                                 | Status |
| 87b63530-793e-4256-967a-ad93c275d2b2 | Ahdp-adcm-v2021.06.17.06-2021-12-06-prod             | active |
| ce09a2eb-c7a6-4e63-9cd3-5068f845fa1a | Ahdp-adcm-v2021.06.17.06-2021-12-16-prod             | active |
| 8db1e963-7f1e-47cc-83a3-21f615da1207 | Ahdp-adcm-v2021.06.17.06-2022-01-12-prod             | active |
| 9d8f53b4-4ef1-44fc-a16e-ffacfb5b7d16 | Ahdp-adcm-v2021.06.17.06-2022-01-13-prod             | active |
| 425a4847-dc14-475a-8d80-009ad292b8a5 | Ahdp-adcm-v2021.06.17.06-2022-01-14-prod             | active |
| 4f3bd37f-a622-44a6-abf4-0fbfdd148774 | Ahdp-adcm-v2021.06.17.06-2022-01-18-prod             | active |
| 2be8e0b2-4de9-4a11-ad06-bd16e12791e7 | Ahdp-adcm-v2021.06.17.06-2022-01-19-prod             | active |
| 3f6d6e6a-b9c4-4d02-af3b-e557f1c82a7a | Ahdp-adcm-v2021.06.17.06-2022-02-02-prod             | active |
| bfa02d84-80ea-4c60-9977-fdeac7bbb26e | Almalinux-8-v1.21.4-mcs.1                            | active |
| 6aaaa554-23bf-4fcf-8384-d18e92a62cf5 | Almalinux-8-v1.21.4-mcs.2                            | active |
| 1a5ac888-64ee-4393-a07a-b205efa163cc | Almalinux-8-v1.21.4-mcs.3                            | active |
| c8b64466-2697-42b1-a3ab-1e3ac24628dd | Almalinux-8-v1.21.4-mcs.4                            | active |
| 6e1703b2-4130-49b2-90b1-1d9291c70b62 | Almalinux-8-v1.22.6-mcs.1                            | active |
| c0688b00-b681-4b79-a551-a74f9e75867e | Almalinux-8-v1.22.6-mcs.2                            | active |
| 7b385f30-2cc6-4bf7-aa24-075a8716b346 | Ambari-2.6.1-7                                       | active |
| 5fba5e98-1675-44d9-87b4-a421b712231b | Ambari-2.6.1.5-0                                     | active |
| a6665fac-0ffc-4d58-8992-5119ad0e9726 | Ambari-2.6.2-2                                       | active |
| 48390fb7-2aac-48f4-a81d-ba939fa2d771 | Ambari-2.6.2-3                                       | active |
| 681f2795-fc89-4cf0-993f-1ea4d9289795 | Ambari-2.6.2-4                                       | active |
| 354e7bff-ae0c-4fc6-9707-24ff9690be56 | Ambari-2.6.2-5                                       | active |
| 3b8e7577-9aa3-400a-b7af-576e69595a02 | Ambari-2.6.4-0                                       | active |
| 49a21584-9cdf-4e66-a963-0f46a91490bf | Ambari-2.6.8-0                                       | active |
| a93879af-8e62-478b-bf8d-535515c05270 | Ambari-2.7.3-0                                       | active |
| 72d03504-e66a-4ad8-bf0e-1cf8b42e0272 | Ambari-2.7.3-1                                       | active |
| aa41e93e-925e-42db-81f7-0341e0ed7974 | Ambari-2.7.3-1                                       | queued |
| 1af2ea37-0b1c-47bc-9044-5ef9f5ede053 | Ambari-2.7.3-2                                       | active |
| c462866a-f0bb-4e73-81de-dde5e780aae4 | Ambari-2.7.3-5                                       | active |
| e1eda28e-eca5-41ff-9d47-2c63f1725a11 | Ambari-2.7.3-6                                       | active |
| 6e0b1e6a-de78-489c-aa4a-359fd5b4f65b | Ambari-2.7.3-9                                       | active |
| 457672ab-fe9e-41b7-9200-25a07833c31c | Ambari-3.1.4-0                                       | active |
| 4f7e8c83-23e2-43c3-afe0-b2f7c1ebfbdf | Bitrix-CentOS7.5-installation                        | active |
| 49b8e951-9353-45f6-86e0-ebb544382f0a | Bitrix-CentOS7.5-installation.2405                   | active |
| b91b462e-caf7-4052-940e-2ca432ababda | CentOS-6.9-Standard                                  | active |
| 6e818295-cfa5-4d0e-ae64-6d5748e88d11 | CentOS-7.4-Standard                                  | active |
| da8fe38a-6236-4d60-a7b4-928c817137dc | CentOS-7.5-Standard                                  | active |
| b228329c-869b-4778-a2db-7bbe5412bd14 | CentOS-7.6-201903                                    | active |
| 289c561d-29f0-4438-a6da-e5bb3c489858 | CentOS-7.7-201910                                    | active |
| 4525415d-df00-4f32-a434-b8469953fe3e | CentOS-7.7-202003                                    | active |
| 44709803-5ec2-496b-88b7-85a5250e51c4 | CentOS-7.9-202107                                    | active |
| c234f854-8555-4976-a2c6-3148ee0396cb | CentOS-8.0-201910                                    | active |
| b83e1948-870f-43ed-a31e-a5850eaff92f | CentOS-8.1-202003                                    | active |
